Id,Thickness,Depth,NoItem,Grade,Treatment
1,90,35,1,F27_Hwd,KD Hwd
2,120,35,1,F27_Hwd,KD Hwd
3,140,35,1,F27_Hwd,KD Hwd
4,170,35,1,F27_Hwd,KD Hwd
5,190,35,1,F27_Hwd,KD Hwd
6,220,35,1,F27_Hwd,KD Hwd
7,240,35,1,F27_Hwd,KD Hwd
8,290,35,1,F27_Hwd,KD Hwd
