Id,Thickness,Depth,NoItem,Grade,Treatment
1,215,65,1,GL_18C,GL18 UnTreated
2,240,65,1,GL_18C,GL18 UnTreated
3,270,65,1,GL_18C,GL18 UnTreated
4,300,65,1,GL_18C,GL18 UnTreated
5,330,65,1,GL_18C,GL18 UnTreated
6,360,65,1,GL_18C,GL18 UnTreated
7,215,85,1,GL_18C,GL18 UnTreated
8,240,85,1,GL_18C,GL18 UnTreated
9,270,85,1,GL_18C,GL18 UnTreated
10,300,85,1,GL_18C,GL18 UnTreated
11,330,85,1,GL_18C,GL18 UnTreated
12,360,85,1,GL_18C,GL18 UnTreated
